gv,bv,pw,positive,negative
0,0,0,[1 0 0 0 0 0],[1 5.0048156481352635e-06 0 0 0 0]
0,0,10,[1 0.00579120172187686 5.203404271014733e-06 1.4351961681313696e-06 0 0],[1 0.002464317250996828 6.5965932662948035e-06 1.8319547052669805e-06 0 0]
0,0,20,[1 0.015566843561828136 1.4196125448506791e-05 2.9094783258187817e-06 0 0],[1 0.0037884528283029795 1.129189240600681e-05 2.7098060400021495e-06 0 0]
0,0,30,[1 0.018521027639508247 1.8203349100076593e-05 3.300986918475246e-06 0 0],[1 0.0022931001149117947 6.422567821573466e-06 1.507557158220152e-06 0 0]
0,0,40,[1 0.03058614395558834 3.141180059174076e-05 4.621678272087593e-06 7.189045732047816e-07 0],[1 0.0012282186653465033 3.215334572814754e-06 7.383296178886667e-07 0 0]
0,0,50,[1 0.007612487301230431 4.377993718662765e-06 7.412579066112812e-07 0 0],[1 5.194816549192183e-05 0 0 0 0]
0,0,60,[0.6563348174095154 0.3436651825904846 0.0004246952012181282 4.1871247958624735e-05 3.940120222978294e-06 0],[1 0.0007214624783955514 1.4378491641764413e-06 0 0 0]
0,0,70,[0.33648431301116943 0.6635156273841858 0.0011870723683387041 0.00011711961269611493 1.1722771887434646e-05 0],[1 0.0008446183637715876 1.8842152940123924e-06 0 0 0]
0,0,80,[0.3421996235847473 0.6578003168106079 0.0013012154959142208 0.00014296991867013276 1.744278233672958e-05 0],[1 0.0006014371174387634 1.312004883402551e-06 0 0 0]
0,0,90,[0.4428021311759949 0.5571978688240051 0.0014968396862968802 0.0001838725438574329 3.469747753115371e-05 0],[1 0.0004658266552723944 9.821346793614794e-07 0 0 0]
0,0,100,[1 0.000166185520356521 5.69143594475463e-07 0 0 0],[1 1.0545836630626582e-06 0 0 0 0]
0,-10,0,[1 4.645932131097652e-05 0 0 0 0],[8.729023102205247e-05 0.00020199810387566686 0.0021222918294370174 0.41348201036453247 0.317909300327301 0.2686086893081665]
0,-10,10,[0.6247703433036804 0.37522968649864197 0.0024377647787332535 0.0002568718628026545 5.1145170800737105e-06 0],[0.00014599977293983102 0.3603997528553009 0.3741722106933594 0.2654280364513397 0.00332015217281878 2.1959624064038508e-05]
